cluster_id	questions	answers
cluster-1754	what years did cale yarborough win his cup championships?	1976
	what years did cale yarborough win winston cup champs?	1978
		1977
cluster-1280	who does the voice of carl in phineas and ferb?	tyler alexander mann
cluster-930	the first black president of mexico?	https://en.wikipedia.org/wiki/vicente_guerrero
cluster-1160	who is queens elizabeth's the 2nd mother?	https://en.wikipedia.org/wiki/queen_elizabeth_the_queen_mother
cluster-2063	who plays james potter in the harry potter films?	https://en.wikipedia.org/wiki/robbie_jarvis
cluster-3936	where was the ed sullivan show located?	https://en.wikipedia.org/wiki/ed_sullivan_theater
cluster-544	hitler became chancellor of germany in what year?	1933-01-30
cluster-2020	what was rick riordan's first book he wrote?	https://en.wikipedia.org/wiki/big_red_tequila
cluster-681	when was remember the titans filmed?	2000
cluster-1436	largest city located along the nile river?	https://en.wikipedia.org/wiki/cairo
cluster-3620	what religion does andre hurley practice?	
cluster-3573	how many us presidents have there been?	44
cluster-212	where is trinidad an tobago located?	https://en.wikipedia.org/wiki/south_america
cluster-3164	who was the first person born in india?	https://en.wikipedia.org/wiki/krishna
cluster-1206	what year was the 17th amendment passed?	1912-05-13
cluster-367	who is ghana neighbours?	https://en.wikipedia.org/wiki/burkina_faso
	where is trinidad and tobago?	https://en.wikipedia.org/wiki/togo
	trinidad and tobago is located in which continent?	https://en.wikipedia.org/wiki/ivory_coast
cluster-2699	what is the largest river in africa that empties into the atlantic?	https://en.wikipedia.org/wiki/congo_river
cluster-3352	what is the name of the germany in 1914?	https://en.wikipedia.org/wiki/german_empire
cluster-3314	when did helen keller die?	1968-06-01
cluster-1249	when apollo13 commonder jim lovell died?	https://en.wikipedia.org/wiki/jim_lovell
cluster-3184	what is the largest city by population in europe?	https://en.wikipedia.org/wiki/istanbul
cluster-844	world series winners in 1994?	https://en.wikipedia.org/wiki/1994_world_series
cluster-3698	when did allen iverson's basketball career end?	2013
cluster-2476	who is king charles 1 married to?	https://en.wikipedia.org/wiki/henrietta_maria_of_france
cluster-3062	what country did iraq fight in the 1980s?	https://en.wikipedia.org/wiki/iran
cluster-3338	who was the first african american to win a nobel prize?	https://en.wikipedia.org/wiki/ralph_bunche
cluster-3392	when did michael jackson's grandfather die?	1993-11-02
cluster-3362	what language do they speak in spain besides spanish?	https://en.wikipedia.org/wiki/catalan_language
	what are some languages spoken in spain besides spanish?	https://en.wikipedia.org/wiki/basque_language
cluster-3305	what are five clint eastwood movies?	https://en.wikipedia.org/wiki/tarantula_(film)
		https://en.wikipedia.org/wiki/never_say_goodbye_(1956_film)
		https://en.wikipedia.org/wiki/revenge_of_the_creature
		https://en.wikipedia.org/wiki/lady_godiva_of_coventry
		https://en.wikipedia.org/wiki/francis_in_the_navy
cluster-1929	what layer of earth is the coolest?	https://en.wikipedia.org/wiki/crust_(geology)
cluster-369	mandeville lousiana zip code?	70448
	what is the zip code for mandeville louisiana?	70471
	what is mandeville louisiana 9 digit zip code?	70470
cluster-208	what is washingtons states baseball team?	https://en.wikipedia.org/wiki/seattle_mariners
cluster-183	what date did portugal gain its independence	1940-12-01
cluster-2577	when was the crucible written and set?	1953
cluster-2023	what national events happened in 1983?	
cluster-1151	what made andrew jackson into the man who became president?	
cluster-3321	what does merlion stand for?	https://en.wikipedia.org/wiki/merlion
cluster-638	who is jacob and leah's second son?	https://en.wikipedia.org/wiki/simeon_(son_of_jacob)
cluster-380	what movie did woody harelson and wesley snipes as nyc transit cops?	https://en.wikipedia.org/wiki/money_train
cluster-2666	when and where was elvis presley's last concert?	1977-06-26
cluster-1277	what was the title of bob dylans first album?	live radio session 1962
cluster-1723	what were the nominees for best supporting actress in 2001?	https://en.wikipedia.org/wiki/kate_winslet
	what was bob dylan's first album called?	https://en.wikipedia.org/wiki/marisa_tomei
		https://en.wikipedia.org/wiki/maggie_smith
		https://en.wikipedia.org/wiki/jennifer_connelly
		https://en.wikipedia.org/wiki/helen_mirren
cluster-799	which mountain range separates india and nepal from china?	https://en.wikipedia.org/wiki/himalayas
cluster-1991	what was nicki minaj's first album?	https://en.wikipedia.org/wiki/playtime_is_over_(mixtape)
cluster-3344	what was the name of elvis's records?	https://en.wikipedia.org/wiki/elvis_is_back!
	what is nicki minaj's first album?	https://en.wikipedia.org/wiki/elvis_presley_(album)
	what is the range of mountains that lies between china and india?	https://en.wikipedia.org/wiki/pot_luck_(elvis_presley_album)
	what mountain range between india and china?	https://en.wikipedia.org/wiki/elvis%27_christmas_album
	what mountain system separates china from india?	https://en.wikipedia.org/wiki/something_for_everybody
		https://en.wikipedia.org/wiki/elvis_(1956_album)
cluster-1384	which is the worlds largest city area wise?	https://en.wikipedia.org/wiki/new_york_metropolitan_area
cluster-1673	what is the exact date harry truman got married?	1919-06-28
cluster-115	what is the highest point of puerto rico?	https://en.wikipedia.org/wiki/cerro_de_punta
cluster-1887	when did bird become pacers coach?	1997-2000
cluster-3953	who ran against hw bush?	https://en.wikipedia.org/wiki/michael_dukakis
cluster-1645	when was marco polos death?	1324-01-08
cluster-2804	population of erie county new york?	919,866
cluster-1488	when is john and edward birthday?	1991-10-16
cluster-3170	what was the date of the very first super bowl?	1967-01-15
cluster-2678	what age was catherine howard when she marry henry 8?	16 years
cluster-3216	what is the usa population?	324,420,000
cluster-1496	when did the english civil war start?	1642-08-22
cluster-3595	who did lady jane grey marry on the 25th of may 1533?	https://en.wikipedia.org/wiki/lord_guildford_dudley
cluster-3374	what is the capital of south carolina and where is located?	https://en.wikipedia.org/wiki/columbia,_south_carolina
cluster-1381	the 2nd smallest country in asia?	https://en.wikipedia.org/wiki/singapore
cluster-3544	prime minister of poland in 2009?	https://en.wikipedia.org/wiki/donald_tusk
cluster-2017	what is tyler perry mothers name?	willie maxine perry
cluster-95	where did george washington lived before being president?	https://en.wikipedia.org/wiki/mount_vernon
cluster-103	when is christopher wallaces birthday?	1972-05-21
cluster-872	who is giuseppe verdi?	https://en.wikipedia.org/wiki/composer
cluster-587	what was zimbabwe's first president?	https://en.wikipedia.org/wiki/canaan_banana
cluster-67	who were albert einstein's influences?	https://en.wikipedia.org/wiki/albert_a._michelson
cluster-48	what is sebastian vizcaino's middle name?	
cluster-364	what school did cher lloyd go to?	https://en.wikipedia.org/wiki/dyson_perrins_church_of_england_academy
	which college did cher lloyd go to?	https://en.wikipedia.org/wiki/stagecoach_theatre_arts
cluster-615	when did judy garland first marry?	https://en.wikipedia.org/wiki/david_rose_(songwriter)
cluster-1191	what is muhamad alis real name?	https://en.wikipedia.org/wiki/cassius_marcellus_clay
cluster-1643	when did king richard take thrown?	1483-06-26
cluster-2124	when did john wilkes booth get married?	1859-01-09
cluster-3011	who was kenneth copeland?	https://en.wikipedia.org/wiki/kenneth_copeland
cluster-1178	what year did michael jackson make the video for leave you alone?	1989
cluster-1167	who's frank lucas jr's mother?	mahalee
cluster-3887	what year did curtis jackson get shot?	2000
cluster-3085	officer william l potts his country name?	https://en.wikipedia.org/wiki/united_states
cluster-2210	what is the dog population in the philippines in 2009?	
cluster-20	the capital of this country is bujumbura?	https://en.wikipedia.org/wiki/burundi
cluster-985	what is lindsay lohan sisters name?	https://en.wikipedia.org/wiki/ali_lohan
cluster-2578	when were jim bob and michelle duggar married?	1984-07-21
cluster-2182	when did jhonny clem die?	1937-05-13
cluster-1980	who is david beckhems wife?	https://en.wikipedia.org/wiki/victoria_beckham
cluster-2837	what river is in trinidad and tobago?	https://en.wikipedia.org/wiki/ortoire_river
	what are the rivers in trinidad?	https://en.wikipedia.org/wiki/nariva_river
cluster-2675	who was the best actress of 1999?	https://en.wikipedia.org/wiki/gwyneth_paltrow
cluster-721	which countries touch both the atlantic and pacific ocean?	https://en.wikipedia.org/wiki/canada
	which countries are touched by both atlantic and pacific oceans?	https://en.wikipedia.org/wiki/united_states
	what countries have coasts on both the atlantic and pacific oceans?	https://en.wikipedia.org/wiki/mexico
cluster-2459	who is kate winslets husband?	ned rocknroll
cluster-3190	the largest cities of washington?	https://en.wikipedia.org/wiki/yakima,_washington
	what are washington's largest cities?	https://en.wikipedia.org/wiki/seattle
		https://en.wikipedia.org/wiki/federal_way,_washington
		https://en.wikipedia.org/wiki/everett,_washington
		https://en.wikipedia.org/wiki/spokane,_washington
		https://en.wikipedia.org/wiki/tacoma,_washington
		https://en.wikipedia.org/wiki/renton,_washington
		https://en.wikipedia.org/wiki/bellevue,_washington
cluster-1209	what movie did patrick swayze and keanu reeves star in?	https://en.wikipedia.org/wiki/point_break
cluster-3042	who is the leader of botswana in 2011?	https://en.wikipedia.org/wiki/ian_khama
cluster-677	president harry trumans successor?	https://en.wikipedia.org/wiki/dwight_d._eisenhower
cluster-1493	president nixon children's names?	https://en.wikipedia.org/wiki/tricia_nixon_cox
	what where the names president children?	https://en.wikipedia.org/wiki/julie_nixon_eisenhower
cluster-2138	what are the three largest cities in kansas by population?	https://en.wikipedia.org/wiki/wichita,_kansas
	who are nixons children?	https://en.wikipedia.org/wiki/kansas_city,_kansas
	names of nixons children?	https://en.wikipedia.org/wiki/overland_park,_kansas
cluster-756	one of the highest volcanoes in central america is?	https://en.wikipedia.org/wiki/volc%c3%a1n_tajumulco
cluster-1775	who did luis suarez play for in 2010?	https://en.wikipedia.org/wiki/afc_ajax
cluster-554	when did movie billy jack come out?	1973-05-09
cluster-2528	what athletes were born in honduras?	https://en.wikipedia.org/wiki/clovis_morales
cluster-3771	dolly parton's first album?	https://en.wikipedia.org/wiki/hello,_i'm_dolly
cluster-699	what is jennifer nettles of sugarland's number?	
cluster-550	thomas edisons first wife?	mary stilwell edison
cluster-403	what day was abraham lincoln inaugurated as president of the us?	1861-03-04
cluster-3505	when did shirley temple black's husband die?	2005-08-04
cluster-3256	when was the world cup 2010 held?	https://en.wikipedia.org/wiki/south_africa
cluster-3853	who was the first president born in massachusetts?	https://en.wikipedia.org/wiki/john_quincy_adams
cluster-289	what battles was england in during world war 2?	https://en.wikipedia.org/wiki/category:battles_of_world_war_ii_involving_the_united_kingdom
cluster-1235	what date did hernando de soto die?	1542-05-21
cluster-1766	what is magic johnson father name?	earvin johnson sr.
cluster-970	when is the birthday of justin bieber?	1994-03-01
cluster-1712	what is the largest desert and mountain range in africa?	https://en.wikipedia.org/wiki/sahara
cluster-2160	which american president held office for the shortest amount of time?	https://en.wikipedia.org/wiki/william_henry_harrison
cluster-3755	what is the fourth biggest city in scotland?	https://en.wikipedia.org/wiki/dundee
cluster-1758	who was the nba hall of fame?	https://en.wikipedia.org/wiki/michael_jordan
